IPs,milliseconds,PUTs
4,22780,33
2,958,4
2,14797,31
4,36766,118
4,30505,110
3,12563,16
3,4468,9
3,33090,56
3,13104,80
2,45206,79
5,72974,212
3,2645,5
2,4815,4
2,15602,6
3,9472,10
4,8610,11
3,13159,20
5,8006,156
1,1,1
3,3989,6
3,57412,68
3,16197,54
3,7044,174
2,4953,116
1,1403,35
3,30681,37
3,33904,44
3,6509,164
2,10371,13
6,190150,428
3,81858,176
2,1690,43
1,3250,76
1,134,2
2,105768,211
2,219089,426
4,38757,286
3,7298,188
2,10084,22
2,131929,248
2,14397,29
2,9545,215
2,12118,269
3,11034,59
2,13960,5
4,25031,38
4,4516,31
5,3340,50
3,1015,25
2,3498,80
1,13454,308
5,92065,451
3,2966,28
2,21604,3
11,175366,399
3,7130,18
3,14979,31
3,14765,33
3,19005,42
4,28489,97
6,69996,276
6,23888,82
4,98471,367
3,19144,52
4,45170,137
3,6202,19
4,45273,125
6,22560,77
5,2134,10
4,2984,10
2,752,3
2,3375,7
6,57490,205
6,26153,60
5,120505,393
6,43870,186
6,41400,155
7,96447,378
4,19301,59
6,108376,393
1,162,1
4,29824,133
1,93,1
3,7519,11
2,9769,89
3,85335,88
1,15715,10
4,31765,87
4,9076,135
4,126750,140
2,6609,5
4,17045,29
5,47890,181
5,58434,544
2,54590,62
6,61763,273
6,68124,158
3,2474,61
2,886,23
1,2055,46
4,35978,282
3,5070,119
5,60497,223
1,210,1
2,5911,138
3,15538,14
3,6044,11
3,15821,20
4,55181,210
3,8316,195
2,4939,102
4,135655,412
3,1628,39
4,27571,184
5,31808,202
6,4114,13
5,2184,7
6,60801,159
5,126957,190
4,36197,35
3,3393,78
4,40577,52
4,132762,250
2,537,14
1,3232,76
4,78153,207
3,4470,105
2,14507,327
3,21033,84
3,24338,24
4,102691,242
3,13151,34
2,7193,19
5,302331,838
2,3374,81
4,112776,738
4,88743,184
3,2318,7
3,20084,41
4,79367,180
5,85415,268
8,25978,159
5,3597,96
2,758,15
3,2253,4
7,25764,137
5,4314,107
4,5597,132
3,9092,201
4,4925,13
2,113169,126
3,16420,179
3,42840,121
2,103623,117
4,95967,306
3,11158,15
4,28290,59
5,90727,912
1,26,2
4,77949,73
1,2077,53
2,29088,33
2,78713,93
1,14196,16
4,146337,116
3,2842,72
2,23009,14
4,116177,384
1,5064,134
2,19021,15
4,166948,322
3,16858,40
3,2479,6
3,30556,21
4,70740,68
6,67680,102
6,77618,131
3,2960,69
3,37767,12
4,278114,405
3,958,56
5,129033,780
1,2174,52
4,144914,230
6,317022,744
4,71095,196
3,25456,184
8,184437,737
7,12008,55
10,31319,178
8,24747,158
7,4225,120
6,20466,130
2,152,2
8,105204,582
1,11,1
6,86940,497
5,6132,166
6,27761,116
4,8019,18
1,72,1
5,2510,57
5,30909,813
4,3277,88
6,21478,538
4,11261,36
6,33589,105
4,24291,80
5,31417,108
5,4666,46
4,11250,108
5,19136,129
6,25407,227
5,23668,99
4,20225,84
3,1336,5
4,23385,62
3,4247,13
4,108229,350
6,38131,264
5,11254,58
4,8927,25
4,43890,143
5,5518,15
4,8799,249
5,30056,92
3,790,4
8,92568,302
11,68535,516
5,9589,39
3,1200,3
5,3079,13
9,43222,253
5,2666,12
7,29185,119
6,6477,30
5,3037,18
1,23,1
4,1199,5
5,19005,60
1,15,1
5,4133,15
7,27522,115
5,12277,56
4,7942,33
8,28794,339
8,4094,124
7,948,56
7,6123,188
6,4877,141
3,442,3
4,1973,10
3,11339,31
3,6232,18
4,12657,47
4,3496,14
3,3477,8
6,21405,60
5,1704,11
4,1946,7
3,11829,37
7,18875,84
4,1788,49
3,184,5
3,3971,36
9,29561,508
6,13707,65
3,666,4
4,15744,33
5,6817,190
4,6030,22
3,1378,6
3,1708,5
5,15881,138
5,7614,206
4,3555,96
3,7045,185
5,15111,101
5,29790,114
5,2007,21
2,12,2
6,31550,196
5,1041,28
4,2217,9
1,77,1
4,20222,61
6,32746,165
3,1141,38
5,32083,131
5,32379,110
5,22271,60
1,34,2
2,5726,9
7,82074,234
5,665,25
4,5122,24
4,6490,48
4,176555,394
2,146471,237
4,381448,559
2,175540,224
1,61941,39
4,72513,322
3,17512,198
1,20377,10
1,3259,2
4,109588,713
1,2055,46
5,76769,303
3,16766,50
4,5262,58
2,163,2
2,19623,68
1,74,1
7,63577,1053
3,6355,181
2,1748,9
1,41,1
2,10233,27
4,27619,61
1,16,1
5,11773,99
3,868,3
1,1610,1
1,72,1
3,17995,33
4,3620,32
2,285,2
1,6210,10
1,34,1
6,16252,94
4,6462,66
3,1544,11
3,9647,24
7,86707,491
4,2053,57
4,60486,236
4,92804,149
6,41714,69
3,12869,9
7,77421,177
2,19307,8
4,180582,212
4,106237,268
3,56629,98
6,476100,1273
3,10979,261
9,80310,431
4,61917,300
1,3082,72
1,21449,68
5,413317,68
4,455488,960
3,14891,381
2,3868,8
3,782649,14
4,288017,100
1,11939,294
2,127438,14
3,65218,661
