time,PUTs,updates
2016-03-17T07:57:32,1, 0
2016-03-17T07:57:34,2, 0
2016-03-17T07:57:36,1, 0
2016-03-17T07:57:37,1, 0
2016-03-17T07:57:38,1, 0
2016-03-17T07:57:39,1, 0
2016-03-17T07:57:41,1, 0
2016-03-17T07:57:42,1, 0
2016-03-17T07:57:43,1, 0
2016-03-17T07:57:44,1, 0
2016-03-17T07:57:46,1, 0
2016-03-17T07:57:47,1, 0
2016-03-17T07:57:48,1, 0
2016-03-17T07:57:49,1, 0
2016-03-17T07:57:51,1, 0
2016-03-17T07:57:52,1, 0
2016-03-17T07:57:53,1, 0
2016-03-17T07:57:55,1, 0
2016-03-17T07:57:56,1, 0
2016-03-17T07:57:57,1, 0
2016-03-17T07:57:58,1, 0
2016-03-17T07:57:59,1, 0
2016-03-17T07:58:01,1, 0
2016-03-17T07:58:02,1, 0
2016-03-17T07:58:03,1, 0
2016-03-17T07:58:04,1, 0
2016-03-17T07:58:05,1, 0
2016-03-17T07:58:07,1, 0
2016-03-17T07:58:08,1, 0
2016-03-17T07:58:09,1, 0
2016-03-17T07:58:10,1, 0
2016-03-17T07:58:12,1, 0
2016-03-17T07:58:13,1, 0
2016-03-17T07:58:14,1, 0
2016-03-17T07:58:15,1, 0
2016-03-17T07:58:17,1, 0
2016-03-17T07:58:18,1, 0
2016-03-17T07:58:19,1, 0
2016-03-17T07:58:20,1, 0
2016-03-17T07:58:22,1, 0
2016-03-17T07:58:23,1, 0
2016-03-17T07:58:24,1, 0
2016-03-17T07:58:25,1, 0
2016-03-17T07:58:27,1, 0
2016-03-17T07:58:28,1, 0
2016-03-17T07:58:29,1, 0
2016-03-17T07:58:30,1, 0
2016-03-17T07:58:32,1, 0
2016-03-17T07:58:33,1, 0
2016-03-17T07:58:34,1, 0
2016-03-17T07:58:35,1, 0
2016-03-17T07:58:37,1, 0
2016-03-17T07:58:38,1, 0
2016-03-17T07:58:39,1, 0
2016-03-17T07:58:40,1, 0
2016-03-17T07:58:42,1, 0
2016-03-17T07:58:43,1, 0
2016-03-17T07:58:44,1, 0
2016-03-17T07:58:45,1, 0
2016-03-17T07:58:46,1, 0
2016-03-17T07:58:48,1, 0
2016-03-17T07:58:49,1, 0
2016-03-17T07:58:50,1, 0
2016-03-17T07:58:51,1, 0
2016-03-17T07:58:53,1, 0
2016-03-17T07:58:54,1, 0
2016-03-17T07:58:55,1, 0
2016-03-17T07:58:56,1, 0
2016-03-17T07:58:58,1, 0
2016-03-17T07:58:59,1, 0
2016-03-17T07:59:00,1, 0
2016-03-17T07:59:01,1, 0
2016-03-17T07:59:03,1, 0
2016-03-17T07:59:04,1, 0
2016-03-17T07:59:05,1, 0
2016-03-17T07:59:06,1, 0
2016-03-17T07:59:08,1, 0
2016-03-17T07:59:09,1, 0
2016-03-17T07:59:10,1, 0
2016-03-17T07:59:11,1, 0
2016-03-17T07:59:13,1, 0
2016-03-17T07:59:14,1, 0
2016-03-17T07:59:15,1, 0
2016-03-17T07:59:16,1, 0
2016-03-17T07:59:18,1, 0
2016-03-17T07:59:19,1, 0
2016-03-17T07:59:20,1, 0
2016-03-17T07:59:21,1, 0
2016-03-17T07:59:23,1, 0
2016-03-17T07:59:24,1, 0
2016-03-17T07:59:25,1, 0
2016-03-17T07:59:26,1, 0
2016-03-17T07:59:28,1, 0
2016-03-17T07:59:29,1, 0
2016-03-17T07:59:30,1, 0
2016-03-17T07:59:32,1, 0
2016-03-17T07:59:33,1, 0
2016-03-17T07:59:34,1, 0
2016-03-17T07:59:35,1, 0
2016-03-17T07:59:36,1, 0
2016-03-17T07:59:38,1, 0
2016-03-17T07:59:39,1, 0
2016-03-17T07:59:40,1, 0
2016-03-17T07:59:41,1, 0
2016-03-17T07:59:43,1, 0
2016-03-17T07:59:44,1, 0
2016-03-17T07:59:45,1, 0
2016-03-17T07:59:46,1, 0
2016-03-17T07:59:48,1, 0
2016-03-17T07:59:49,1, 0
2016-03-17T07:59:50,1, 0
2016-03-17T07:59:51,1, 0
2016-03-17T07:59:53,1, 0
2016-03-17T07:59:54,1, 0
2016-03-17T07:59:55,1, 0
2016-03-17T07:59:56,1, 0
2016-03-17T07:59:58,1, 0
2016-03-17T07:59:59,1, 0
2016-03-17T08:00:00,1, 0
2016-03-17T08:00:01,1, 0
2016-03-17T08:00:03,1, 0
2016-03-17T08:00:04,1, 0
2016-03-17T08:00:05,1, 0
2016-03-17T08:00:06,1, 0
2016-03-17T08:00:08,1, 0
2016-03-17T08:00:09,1, 0
2016-03-17T08:00:10,1, 0
2016-03-17T08:00:11,1, 0
2016-03-17T08:00:13,1, 0
2016-03-17T08:00:14,1, 0
2016-03-17T08:00:15,1, 0
2016-03-17T08:00:16,1, 0
2016-03-17T08:00:18,1, 0
2016-03-17T08:00:19,1, 0
2016-03-17T08:00:20,1, 0
2016-03-17T08:00:21,1, 0
2016-03-17T08:00:23,1, 0
2016-03-17T08:00:24,1, 0
2016-03-17T08:00:25,1, 0
2016-03-17T08:00:26,1, 0
2016-03-17T08:00:28,1, 0
2016-03-17T08:00:29,1, 0
2016-03-17T08:00:30,1, 0
2016-03-17T08:00:31,1, 0
2016-03-17T08:00:33,1, 0
2016-03-17T08:00:34,1, 0
2016-03-17T08:00:35,1, 0
2016-03-17T08:00:36,1, 0
2016-03-17T08:00:38,1, 0
2016-03-17T08:00:39,1, 0
2016-03-17T08:00:40,1, 0
2016-03-17T08:00:41,1, 0
2016-03-17T08:00:43,1, 0
2016-03-17T08:00:44,1, 0
2016-03-17T08:00:45,1, 0
2016-03-17T08:00:46,1, 0
2016-03-17T08:00:48,1, 0
2016-03-17T08:00:49,1, 0
2016-03-17T08:00:50,1, 0
2016-03-17T08:00:51,1, 0
2016-03-17T08:00:53,1, 0
2016-03-17T08:00:54,1, 0
2016-03-17T08:00:55,1, 0
2016-03-17T08:00:56,1, 0
2016-03-17T08:00:58,1, 0
2016-03-17T08:00:59,1, 0
2016-03-17T08:01:00,1, 0
2016-03-17T08:01:01,1, 0
2016-03-17T08:01:03,1, 0
2016-03-17T08:01:04,1, 0
2016-03-17T08:01:05,1, 0
2016-03-17T08:01:06,1, 0
2016-03-17T08:01:08,1, 0
2016-03-17T08:01:09,1, 0
2016-03-17T08:01:10,1, 0
2016-03-17T08:01:11,1, 0
2016-03-17T08:01:13,1, 0
2016-03-17T08:01:14,1, 0
2016-03-17T08:01:15,1, 0
2016-03-17T08:01:16,1, 0
2016-03-17T08:01:18,1, 0
2016-03-17T08:01:19,1, 0
2016-03-17T08:01:20,1, 0
2016-03-17T08:01:21,1, 0
2016-03-17T08:01:23,1, 0
2016-03-17T08:01:24,1, 0
2016-03-17T08:01:25,1, 0
2016-03-17T08:01:26,1, 0
2016-03-17T08:01:27,1, 0
2016-03-17T08:01:29,1, 0
2016-03-17T08:01:30,1, 0
2016-03-17T08:01:31,1, 0
2016-03-17T08:01:32,1, 0
2016-03-17T08:01:34,1, 0
2016-03-17T08:01:35,1, 0
2016-03-17T08:01:36,1, 0
2016-03-17T08:01:37,1, 0
2016-03-17T08:01:39,1, 0
2016-03-17T08:01:40,1, 0
2016-03-17T08:01:41,1, 0
2016-03-17T08:01:42,1, 0
2016-03-17T08:01:44,1, 0
2016-03-17T08:01:45,1, 0
2016-03-17T08:01:46,1, 0
2016-03-17T08:01:47,1, 0
2016-03-17T08:01:49,1, 0
2016-03-17T08:01:50,1, 0
2016-03-17T08:01:51,1, 0
2016-03-17T08:01:52,1, 0
2016-03-17T08:01:53,1, 0
2016-03-17T08:01:55,1, 0
2016-03-17T08:01:56,1, 0
2016-03-17T08:01:57,1, 0
2016-03-17T08:01:59,1, 0
2016-03-17T08:02:00,1, 0
2016-03-17T08:02:01,1, 0
2016-03-17T08:02:02,1, 0
2016-03-17T08:02:04,1, 0
2016-03-17T08:02:05,1, 0
2016-03-17T08:02:06,1, 0
2016-03-17T08:02:07,1, 0
2016-03-17T08:02:09,1, 0
2016-03-17T08:02:10,1, 0
2016-03-17T08:02:11,1, 0
2016-03-17T08:02:12,1, 0
2016-03-17T08:02:14,1, 0
2016-03-17T08:02:15,1, 0
2016-03-17T08:02:16,1, 0
2016-03-17T08:02:17,1, 0
2016-03-17T08:02:18,1, 0
2016-03-17T08:02:20,1, 0
2016-03-17T08:02:21,1, 0
2016-03-17T08:02:22,1, 0
2016-03-17T08:02:23,1, 0
2016-03-17T08:02:25,1, 0
2016-03-17T08:02:26,1, 0
2016-03-17T08:02:27,1, 0
2016-03-17T08:02:28,1, 0
2016-03-17T08:02:30,1, 0
2016-03-17T08:02:31,1, 0
2016-03-17T08:02:32,1, 0
2016-03-17T08:02:33,1, 0
2016-03-17T08:02:35,1, 0
2016-03-17T08:02:36,1, 0
2016-03-17T08:02:37,1, 0
2016-03-17T08:02:38,1, 0
2016-03-17T08:02:40,1, 0
2016-03-17T08:02:41,1, 0
2016-03-17T08:02:42,1, 0
2016-03-17T08:02:43,1, 0
2016-03-17T08:02:45,1, 0
2016-03-17T08:02:46,1, 0
2016-03-17T08:02:47,1, 0
2016-03-17T08:02:48,1, 0
2016-03-17T08:02:50,1, 0
2016-03-17T08:02:51,1, 0
2016-03-17T08:02:52,1, 0
2016-03-17T08:02:53,1, 0
2016-03-17T08:02:55,1, 0
2016-03-17T08:02:56,1, 0
2016-03-17T08:02:57,1, 0
2016-03-17T08:02:59,2, 0
2016-03-17T08:03:01,1, 0
2016-03-17T08:03:02,1, 0
2016-03-17T08:03:03,1, 0
2016-03-17T08:03:04,1, 0
2016-03-17T08:03:06,1, 0
2016-03-17T08:03:07,1, 0
2016-03-17T08:03:08,1, 0
2016-03-17T08:03:09,1, 0
2016-03-17T08:03:11,1, 0
2016-03-17T08:03:12,1, 0
2016-03-17T08:03:13,1, 0
2016-03-17T08:03:14,1, 0
2016-03-17T08:03:16,1, 0
2016-03-17T08:03:17,1, 0
2016-03-17T08:03:18,1, 0
2016-03-17T08:03:19,1, 0
2016-03-17T08:03:21,1, 0
2016-03-17T08:03:22,1, 0
2016-03-17T08:03:23,1, 0
2016-03-17T08:03:24,1, 0
2016-03-17T08:03:26,1, 0
2016-03-17T08:03:27,1, 0
2016-03-17T08:03:28,1, 0
2016-03-17T08:03:29,1, 0
2016-03-17T08:03:31,1, 0
2016-03-17T08:03:32,1, 0
2016-03-17T08:03:33,1, 0
2016-03-17T08:03:34,1, 0
2016-03-17T08:03:36,1, 0
2016-03-17T08:03:37,1, 0
2016-03-17T08:03:38,1, 0
2016-03-17T08:03:39,1, 0
2016-03-17T08:03:41,1, 0
2016-03-17T08:03:42,1, 0
2016-03-17T08:03:43,1, 0
2016-03-17T08:03:44,1, 0
2016-03-17T08:03:46,1, 0
2016-03-17T08:03:47,1, 0
2016-03-17T08:03:48,1, 0
2016-03-17T08:03:49,1, 0
2016-03-17T08:03:51,1, 0
2016-03-17T08:03:52,1, 0
2016-03-17T08:03:53,1, 0
2016-03-17T08:03:54,1, 0
2016-03-17T08:03:55,1, 0
2016-03-17T08:03:57,1, 0
2016-03-17T08:03:58,1, 0
2016-03-17T08:03:59,1, 0
2016-03-17T08:04:00,1, 0
2016-03-17T08:04:02,1, 0
2016-03-17T08:04:03,1, 0
2016-03-17T08:04:04,1, 0
2016-03-17T08:04:05,1, 0
2016-03-17T08:04:07,1, 0
2016-03-17T08:04:08,1, 0
2016-03-17T08:04:09,1, 0
2016-03-17T08:04:10,1, 0
2016-03-17T08:04:11,1, 0
2016-03-17T08:04:13,1, 0
